,Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
0,https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_0_2917444031_1,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0,"55,002",NA,NA,NA,NA
1,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1690225953&sprefix=ba%2Caps%2C283&sr=8-2,Skybags Brat Black 46 Cms Casual Backpack,669,4.1,"5,198","Care Instructions: Hand Wash Only. Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,. Water Resistance Level: Not Water Resistant. Size: 35 x 13 x 46 cms",B08Z1HHHTD,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",VIP Industries Ltd
2,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1690225953&sprefix=ba%2Caps%2C283&sr=8-3,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,4.3,"11,857","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.. Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.. Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.. Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks. 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty. Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.. ›",B084JGJ8PF,NA,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039"
3,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690225953&sprefix=ba%2Caps%2C283&sr=8-4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,999,3.9,"3,234","This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.. Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.. Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.. Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.. FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",B09VCLZ3K4,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags
4,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690225953&sprefix=ba%2Caps%2C283&sr=8-5,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",799,3.9,"16,601","Care Instructions: Hand Wash Only. SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort. COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.. SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm. ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.. OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,NA,Amazing Bags
5,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690225953&sprefix=ba%2Caps%2C283&sr=8-6,Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"1,125",4.4,"5,921","Outer Material: Polyester, Color: Black. Water Resistance: Water resistant. Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2. Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,. Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks",B075MK4TXP,NA,Gear Merchandise PVT LTD
6,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690225953&sprefix=ba%2Caps%2C283&sr=8-7,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),987,4.4,"5,922","Care Instructions: Hand Wash Only. Outer material: synthetic, color: brown. Waterproof. Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH). Number of compartments: 2. Laptop compatibility: yes, laptop size: 16strap type: adjustable. Anti theft waterproof bag with anti sweat fabric on back and shoulder straps. USB and headphone cable slot. External bottle pocket. Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .. Show More",B07G4F6XFH,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD
7,https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_7_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3,569,NA,NA,NA,NA
8,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690225953&sprefix=ba%2Caps%2C283&sr=8-9,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",689,3.8,"2,319","Care Instructions: Hand Wash Only. Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.. Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.. Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included ). Care Instructions: Wipe with Dry Cloth. Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.",LEGEND-1,NA,B09QJ7ZF2Y
9,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690225953&sprefix=ba%2Caps%2C283&sr=8-10,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,630,4.0,480,"Care Instructions: Machine Wash. Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.. Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.. Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",B0BS6QQZYN,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",SHABA BAGS
